[zwb495@hendrixfut03fl misc]$ python3 findRescale.py 
Series: 1.2.840.113713.4.100.1.2.100209788111034576238766209483056 -> Min: 0.0, Max: 2967.0
Series: 1.2.840.113713.4.100.1.2.526806222129767069414008716822875 -> Min: 0.0, Max: 2825.0
Series: 1.2.840.113713.4.100.1.2.534218332109912786427087373705042 -> Min: 0.0, Max: 2709.0
Series: 1.2.840.113713.4.100.1.2.561315062110129820426747537820103 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.600480085131041675207429416604805 -> Min: 0.0, Max: 2819.0
Series: 1.2.840.113713.4.100.1.2.621301228127713668110547010400225 -> Min: 0.0, Max: 2733.0
Series: 1.2.840.113713.4.100.1.2.644209362125050555015592159732592 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.679193188123797574300944427100007 -> Min: 0.0, Max: 3014.0
Series: 1.2.840.113713.4.100.1.2.689217770128301024261306536028032 -> Min: 0.0, Max: 2683.0
Series: 1.2.840.113713.4.100.1.2.689315100119845903423592847918943 -> Min: 0.0, Max: 2965.0
Series: 1.2.840.113713.4.100.1.2.689648218118981057242176988822189 -> Min: 0.0, Max: 2824.0
Series: 1.2.840.113713.4.100.1.2.690553421134938468268234842705601 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.726469688125456121254815581214371 -> Min: 0.0, Max: 3119.0
Series: 1.2.840.113713.4.100.1.2.734923353126842656279799391808864 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.755463610116573057197725327318130 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.757133283117158642349042676227948 -> Min: 0.0, Max: 3595.0
Series: 1.2.840.113713.4.100.1.2.769143055112159099083294278040418 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.771135837123243554253116893010663 -> Min: 0.0, Max: 2953.0
Series: 1.2.840.113713.4.100.1.2.787793991135388810393695119434721 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.838708526139860093345829388816891 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.845268572126902812299589160431092 -> Min: 0.0, Max: 2712.0
Series: 1.2.840.113713.4.100.1.2.850824550116311986178315891213369 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.866438947119991652278942632935840 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.881496820113045794332627699633611 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.898230557110726520397923034231092 -> Min: 0.0, Max: 2901.0
Series: 1.2.840.113713.4.100.1.2.917057414101744493032161425029696 -> Min: 0.0, Max: 2748.0
Series: 1.2.840.113713.4.100.1.2.932240692117823431058384758208881 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.937191091110797497134179113411169 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.937781683110524250231019715811030 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.946990145125691185428312670525130 -> Min: 0.0, Max: 2709.0
Series: 1.2.840.113713.4.100.1.2.952399635120614382042631185039882 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.968793880118776350297570013222734 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.980579878111443638236162164138720 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.983051531299719000960212894144949 -> Min: 0.0, Max: 4095.0

Overall Min and Max across all series:
Min: 0.0, Max: 4095.0
